Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.069429,6.1599E-18,0.093307,0,0,0,1.5,0.0028787,-6.2028E-19,0.0011496,0.0047606,5.6278E-19,0.0043029,0,0,0,0,0,0,package://PAI-urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/base_link.STL,,body-00-1,00000000,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left-hip-abad,0.041409,0,0.055119,0,0,0,0.35,3.6841E-05,-2.584E-22,-6.2162E-07,3.8839E-05,-1.9482E-21,3.6277E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-abad.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-abad.STL,,roll-L-2,R-L,rool-L,abad-L,continuous,0,0.075,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
left-hip-yaw,-0.00049584,2.8866E-15,0.0032955,0,0,0,0.65,6.7757E-05,7.9552E-21,-6.395E-07,6.8581E-05,9.1346E-21,6.7914E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-yaw.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-yaw.STL,,yaw-L-1,HIP-L,yaw-L,Yaw-L,continuous,0.049,0,-0.0005,0,0,0,left-hip-abad,0,0,1,,,,,,,,,,,,
left-hip-pitch,6.5226E-16,2.3315E-15,-0.05727,0,0,0,0.2,0.00012318,3.9623E-20,-2.6324E-20,0.00012926,7.2271E-23,6.3186E-06,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-pitch.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/left-hip-pitch.STL,,leg-L-1,HIP-L,pitch-L,Pitch-L,continuous,0,0,0,0,0,0,left-hip-yaw,0,1,0,,,,,,,,,,,,
left-knee,-0.0045962,0.012568,-0.063722,0,0,0,0.36,0.00011945,6.4077E-08,3.3225E-07,0.00012253,1.2844E-07,2.0036E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/left-knee.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/left-knee.STL,,ankle-L-1,K-L,knee-L,Knee-L,continuous,0,0,-0.15,0,0,0,left-hip-pitch,0,1,0,,,,,,,,,,,,
left-ankle,0.010818,-1.9984E-08,-0.014672,0,0,0,0.09,2.76E-06,3.1498E-11,1.0465E-06,2.7107E-05,3.7297E-13,2.6942E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/left-ankle.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/left-ankle.STL,,foot-L-1,A-L,ankle-L,Ankle-L,continuous,0,0,-0.16,0,0,0,left-knee,0,-1,0,,,,,,,,,,,,
right-hip-abad,0.041409,-2.7756E-17,0.055119,0,0,0,0.35,3.6841E-05,2.4386E-22,-6.2162E-07,3.8839E-05,-2.348E-21,3.6277E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-abad.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-abad.STL,,roll-R-2,R-R,rool-R,abad-R,continuous,0,-0.075,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
right-hip-yaw,-0.00049584,4.3021E-16,0.0032955,0,0,0,0.65,6.7757E-05,-1.4631E-21,-6.395E-07,6.8581E-05,1.1283E-20,6.7914E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-yaw.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-yaw.STL,,yaw-R-1,HIP-R,yaw-R,Yaw-R,continuous,0.049,0,-0.0005,0,0,0,right-hip-abad,0,0,1,,,,,,,,,,,,
right-hip-pitch,-3.5388E-16,6.5226E-16,-0.05727,0,0,0,0.2,0.00012318,3.9681E-20,-3.2905E-21,0.00012926,2.887E-20,6.3186E-06,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-pitch.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/right-hip-pitch.STL,,leg-R-1,HIP-R,pitch-R,Pitch-R,continuous,0,0,0,0,0,0,right-hip-yaw,0,-1,0,,,,,,,,,,,,
right-knee,-0.0045962,-0.012568,-0.063722,0,0,0,0.36,0.00011945,-6.4077E-08,3.3225E-07,0.00012253,-1.2844E-07,2.0036E-05,0,0,0,0,0,0,package://PAI-urdf/meshes/right-knee.STL,1,1,1,1,0,0,0,0,0,0,package://PAI-urdf/meshes/right-knee.STL,,ankle-R-1,K-R,knee-R,Knee-R,continuous,0,0,-0.15,0,0,0,right-hip-pitch,0,1,0,,,,,,,,,,,,
